"Anas et. al","","","PrivQuant","",""
"Size 1","Size 2","Size 3","Size 1","Size 2","Size 3"
0.298,0.686,0.016,0.536,0.464,0.0
0.404,0.592,0.004,0.472,0.524,0.004
0.262,0.718,0.02,0.452,0.546,0.002
0.326,0.67,0.004,0.514,0.486,0.0
0.226,0.742,0.032,0.478,0.522,0.0
0.348,0.648,0.004,0.478,0.522,0.0
0.28,0.708,0.012,0.42,0.578,0.002
0.196,0.786,0.018,0.424,0.574,0.002
0.238,0.74,0.022,0.47,0.528,0.002
0.304,0.686,0.01,0.444,0.554,0.002
0.338,0.662,0.0,0.46,0.54,0.0
0.068,0.82,0.112,0.434,0.566,0.0
0.298,0.69,0.012,0.484,0.516,0.0
0.276,0.716,0.008,0.468,0.53,0.002
0.262,0.73,0.008,0.456,0.542,0.002
0.354,0.634,0.012,0.542,0.456,0.002
0.296,0.696,0.008,0.426,0.574,0.0
0.378,0.62,0.002,0.478,0.522,0.0
0.262,0.718,0.02,0.498,0.502,0.0
0.304,0.684,0.012,0.482,0.518,0.0
0.234,0.754,0.012,0.46,0.54,0.0
0.228,0.764,0.008,0.462,0.538,0.0
0.366,0.632,0.002,0.56,0.438,0.002
0.312,0.676,0.012,0.436,0.562,0.002
0.236,0.752,0.012,0.408,0.592,0.0
0.212,0.762,0.026,0.446,0.552,0.002
0.354,0.64,0.006,0.476,0.522,0.002
0.264,0.724,0.012,0.442,0.556,0.002
0.344,0.646,0.01,0.468,0.53,0.002
0.032,0.792,0.176,0.454,0.544,0.002
0.254,0.732,0.014,0.436,0.564,0.0
0.348,0.646,0.006,0.496,0.502,0.002
0.374,0.626,0.0,0.468,0.532,0.0
0.26,0.734,0.006,0.448,0.552,0.0
0.368,0.63,0.002,0.458,0.542,0.0
0.294,0.692,0.014,0.444,0.554,0.002
0.218,0.762,0.02,0.43,0.57,0.0
0.34,0.656,0.004,0.458,0.54,0.002
0.248,0.728,0.024,0.45,0.548,0.002
0.15,0.814,0.036,0.426,0.572,0.002
0.098,0.828,0.074,0.412,0.586,0.002
0.366,0.63,0.004,0.504,0.494,0.002
0.354,0.642,0.004,0.46,0.54,0.0
0.352,0.642,0.006,0.476,0.52,0.004
0.276,0.704,0.02,0.444,0.554,0.002
0.244,0.728,0.028,0.42,0.58,0.0
0.014,0.774,0.212,0.522,0.476,0.002
0.302,0.69,0.008,0.518,0.482,0.0
0.262,0.718,0.02,0.44,0.556,0.004
0.092,0.824,0.084,0.464,0.534,0.002
0.29,0.694,0.016,0.452,0.548,0.0
0.308,0.678,0.014,0.484,0.516,0.0
0.262,0.724,0.014,0.438,0.562,0.0
0.036,0.818,0.146,0.484,0.516,0.0
0.174,0.772,0.054,0.474,0.524,0.002
0.246,0.732,0.022,0.448,0.55,0.002
0.272,0.718,0.01,0.43,0.57,0.0
0.18,0.79,0.03,0.414,0.586,0.0
0.138,0.798,0.064,0.472,0.528,0.0
0.298,0.688,0.014,0.44,0.558,0.002
0.374,0.626,0.0,0.458,0.542,0.0
0.0,0.0,1.0,0.436,0.564,0.0
0.148,0.8,0.052,0.486,0.512,0.002
0.316,0.676,0.008,0.438,0.562,0.0
0.086,0.83,0.084,0.466,0.534,0.0
0.254,0.726,0.02,0.452,0.548,0.0
0.256,0.718,0.026,0.502,0.498,0.0
0.07,0.818,0.112,0.426,0.57,0.004
0.194,0.774,0.032,0.486,0.514,0.0
0.226,0.752,0.022,0.452,0.546,0.002
0.292,0.696,0.012,0.458,0.54,0.002
0.08,0.8,0.12,0.52,0.48,0.0
0.262,0.716,0.022,0.486,0.51,0.004
0.1,0.812,0.088,0.506,0.494,0.0
0.012,0.788,0.2,0.418,0.582,0.0
0.246,0.73,0.024,0.468,0.53,0.002
0.032,0.814,0.154,0.432,0.568,0.0
0.358,0.636,0.006,0.468,0.532,0.0
0.3,0.684,0.016,0.508,0.49,0.002
0.272,0.708,0.02,0.446,0.554,0.0
0.174,0.784,0.042,0.44,0.556,0.004
0.254,0.726,0.02,0.462,0.536,0.002
0.032,0.838,0.13,0.454,0.546,0.0
0.22,0.752,0.028,0.424,0.574,0.002
0.274,0.712,0.014,0.46,0.538,0.002
0.22,0.766,0.014,0.426,0.574,0.0
0.348,0.648,0.004,0.454,0.546,0.0
0.322,0.67,0.008,0.412,0.586,0.002
0.0,0.646,0.354,0.502,0.498,0.0
0.344,0.648,0.008,0.46,0.538,0.002
0.284,0.7,0.016,0.488,0.512,0.0
0.246,0.744,0.01,0.452,0.548,0.0
0.338,0.66,0.002,0.512,0.488,0.0
0.332,0.658,0.01,0.532,0.466,0.002
0.322,0.672,0.006,0.442,0.558,0.0
0.298,0.69,0.012,0.474,0.524,0.002
0.302,0.69,0.008,0.488,0.512,0.0
0.196,0.768,0.036,0.444,0.554,0.002
0.374,0.624,0.002,0.472,0.528,0.0
0.292,0.694,0.014,0.47,0.528,0.002
0.262,0.726,0.012,0.462,0.538,0.0
0.166,0.802,0.032,0.46,0.54,0.0
0.206,0.772,0.022,0.434,0.564,0.002
0.19,0.778,0.032,0.478,0.518,0.004
0.154,0.794,0.052,0.48,0.52,0.0
0.288,0.694,0.018,0.522,0.476,0.002
0.208,0.764,0.028,0.444,0.554,0.002
0.284,0.704,0.012,0.464,0.536,0.0
0.286,0.698,0.016,0.574,0.424,0.002
0.258,0.72,0.022,0.452,0.548,0.0
0.116,0.822,0.062,0.448,0.548,0.004
0.066,0.824,0.11,0.458,0.542,0.0
0.374,0.626,0.0,0.476,0.524,0.0
0.188,0.782,0.03,0.454,0.546,0.0
0.396,0.602,0.002,0.56,0.44,0.0
0.0,0.216,0.784,0.482,0.518,0.0
0.224,0.76,0.016,0.462,0.538,0.0
0.128,0.82,0.052,0.454,0.544,0.002
0.008,0.754,0.238,0.454,0.542,0.004
0.008,0.734,0.258,0.428,0.57,0.002
0.18,0.788,0.032,0.462,0.536,0.002
0.336,0.654,0.01,0.492,0.506,0.002
0.348,0.64,0.012,0.474,0.524,0.002
0.356,0.64,0.004,0.466,0.534,0.0
0.33,0.664,0.006,0.474,0.524,0.002
0.178,0.776,0.046,0.476,0.522,0.002
0.302,0.688,0.01,0.44,0.558,0.002
0.256,0.734,0.01,0.47,0.53,0.0
0.066,0.81,0.124,0.478,0.52,0.002
0.33,0.658,0.012,0.486,0.512,0.002
0.328,0.658,0.014,0.482,0.516,0.002
0.184,0.776,0.04,0.484,0.514,0.002
0.268,0.718,0.014,0.438,0.56,0.002
0.352,0.646,0.002,0.472,0.528,0.0
0.274,0.712,0.014,0.496,0.502,0.002
0.14,0.81,0.05,0.468,0.532,0.0
0.1,0.842,0.058,0.486,0.514,0.0
0.228,0.754,0.018,0.49,0.51,0.0
0.37,0.626,0.004,0.516,0.484,0.0
0.314,0.68,0.006,0.422,0.578,0.0
0.17,0.794,0.036,0.466,0.532,0.002
0.334,0.66,0.006,0.5,0.5,0.0
0.378,0.614,0.008,0.476,0.524,0.0
0.374,0.62,0.006,0.504,0.494,0.002
0.308,0.678,0.014,0.462,0.536,0.002
0.028,0.814,0.158,0.44,0.558,0.002
0.296,0.692,0.012,0.432,0.566,0.002
0.342,0.646,0.012,0.474,0.524,0.002
0.27,0.71,0.02,0.444,0.554,0.002
0.14,0.816,0.044,0.444,0.556,0.0
0.132,0.828,0.04,0.468,0.532,0.0
0.348,0.644,0.008,0.454,0.546,0.0
0.13,0.812,0.058,0.448,0.552,0.0
0.32,0.674,0.006,0.464,0.534,0.002
0.28,0.704,0.016,0.424,0.574,0.002
0.196,0.772,0.032,0.468,0.528,0.004
0.242,0.75,0.008,0.392,0.606,0.002
0.272,0.716,0.012,0.456,0.544,0.0
0.306,0.688,0.006,0.428,0.57,0.002
0.288,0.704,0.008,0.49,0.508,0.002
0.25,0.736,0.014,0.458,0.542,0.0
0.266,0.718,0.016,0.46,0.54,0.0
0.166,0.792,0.042,0.448,0.55,0.002
0.278,0.702,0.02,0.4,0.598,0.002
0.07,0.83,0.1,0.374,0.624,0.002
0.21,0.764,0.026,0.564,0.436,0.0
0.176,0.794,0.03,0.526,0.474,0.0
0.258,0.728,0.014,0.462,0.538,0.0
0.082,0.828,0.09,0.422,0.578,0.0
0.394,0.604,0.002,0.534,0.466,0.0
0.304,0.688,0.008,0.444,0.552,0.004
0.314,0.678,0.008,0.448,0.552,0.0
0.144,0.812,0.044,0.436,0.562,0.002
0.28,0.704,0.016,0.464,0.534,0.002
0.158,0.812,0.03,0.44,0.556,0.004
0.276,0.706,0.018,0.474,0.524,0.002
0.078,0.814,0.108,0.448,0.552,0.0
0.354,0.64,0.006,0.444,0.554,0.002
0.28,0.712,0.008,0.474,0.526,0.0
0.15,0.806,0.044,0.428,0.572,0.0
0.25,0.734,0.016,0.472,0.526,0.002
0.34,0.656,0.004,0.438,0.562,0.0
0.196,0.77,0.034,0.366,0.63,0.004
0.238,0.74,0.022,0.47,0.53,0.0
0.314,0.676,0.01,0.488,0.51,0.002
